File Name,Case ID,Sample ID,Sample Type
a302b358-11e7-4a27-8670-14f87d8faa0c.FPKM.txt,TCGA-ER-A193,TCGA-ER-A193-06A,Metastatic
bf92fe23-899b-4dd6-96bb-182c53d7f18d.FPKM.txt,TCGA-EB-A3Y6,TCGA-EB-A3Y6-01A,Primary Tumor
a38a5341-2285-4fd6-af68-4ae3a7d5448e.FPKM.txt,TCGA-D3-A51T,TCGA-D3-A51T-06A,Metastatic
84295d28-fed4-4aeb-984b-b4396636906b.FPKM.txt,TCGA-D3-A1Q6,TCGA-D3-A1Q6-06A,Metastatic
92cc5466-7ae6-458a-80bf-2be5d81f8d37.FPKM.txt,TCGA-EB-A6QY,TCGA-EB-A6QY-01A,Primary Tumor
cc09b47f-b604-4ac5-9f7e-6c7ec82d38bf.FPKM.txt,TCGA-YD-A89C,TCGA-YD-A89C-06A,Metastatic
e6f3d0ef-3518-4170-92f7-2beb862ad6cb.FPKM.txt,TCGA-D3-A2J6,TCGA-D3-A2J6-06A,Metastatic
8d875551-4732-40f3-8df3-57f04afae472.FPKM.txt,TCGA-FS-A1ZN,TCGA-FS-A1ZN-01A,Primary Tumor
c62cc001-e373-466e-9305-32420ac84858.FPKM.txt,TCGA-EE-A182,TCGA-EE-A182-06A,Metastatic
ee64482e-d1fb-40b7-9169-d39b5449dccb.FPKM.txt,TCGA-D9-A148,TCGA-D9-A148-06A,Metastatic
7af6fe49-0346-42ff-bb0c-c671cdf9d09a.FPKM.txt,TCGA-FR-A3R1,TCGA-FR-A3R1-01A,Primary Tumor
c24a8fb2-8db1-4c1f-a230-682de53ff964.FPKM.txt,TCGA-RP-A6K9,TCGA-RP-A6K9-06A,Metastatic
67f03128-5448-49b9-91d9-8a8e68b10cc5.FPKM.txt,TCGA-GF-A3OT,TCGA-GF-A3OT-06A,Metastatic
6552858f-d9d9-4f08-ad41-79c0c8397990.FPKM.txt,TCGA-WE-A8ZT,TCGA-WE-A8ZT-06A,Metastatic
9737b044-f037-4acc-b8cf-78d6d897917c.FPKM.txt,TCGA-EE-A29P,TCGA-EE-A29P-06A,Metastatic
49ce087b-90ea-498c-bb66-e3687f26d5f6.FPKM.txt,TCGA-D9-A6E9,TCGA-D9-A6E9-06A,Metastatic
a9821e9b-7f51-4883-9254-b0b43950b182.FPKM.txt,TCGA-FS-A1ZF,TCGA-FS-A1ZF-06A,Metastatic
8ab2317c-97ce-480d-9ab0-c51047031cde.FPKM.txt,TCGA-FR-A728,TCGA-FR-A728-01A,Primary Tumor
1cce6993-e930-4df9-8323-eca338fda4f1.FPKM.txt,TCGA-EE-A2A6,TCGA-EE-A2A6-06A,Metastatic
