Sample ID,Sample Type
TCGA-GN-A4U7-06A,Metastatic
TCGA-D3-A3CC-06A,Metastatic
TCGA-D3-A51H-06A,Metastatic
TCGA-FS-A1Z7-06A,Metastatic
TCGA-EE-A181-06A,Metastatic
TCGA-FS-A1ZS-06A,Metastatic
TCGA-DA-A960-01A,Primary Tumor
TCGA-EE-A2GH-06A,Metastatic
TCGA-ER-A19C-06A,Metastatic
TCGA-W3-A828-06A,Metastatic
TCGA-EE-A2GR-06A,Metastatic
TCGA-ER-A19Q-06A,Metastatic
TCGA-ER-A2NF-01A,Primary Tumor
TCGA-WE-A8K4-01A,Primary Tumor
TCGA-EB-A550-01A,Primary Tumor
TCGA-FS-A1ZG-06A,Metastatic
TCGA-D3-A3C6-06A,Metastatic
TCGA-EE-A2A0-06A,Metastatic
TCGA-D9-A3Z3-06A,Metastatic
TCGA-D3-A1Q4-06A,Metastatic
TCGA-GN-A4U5-01A,Primary Tumor
TCGA-D3-A51G-06A,Metastatic
TCGA-EB-A41A-01A,Primary Tumor
TCGA-EB-A4XL-01A,Primary Tumor
TCGA-RP-A694-06A,Metastatic
TCGA-EE-A2MJ-06A,Metastatic
TCGA-FS-A4F4-06A,Metastatic
TCGA-ER-A198-06A,Metastatic
TCGA-FS-A1ZQ-06A,Metastatic
TCGA-BF-A9VF-01A,Primary Tumor
TCGA-EB-A4IQ-01A,Primary Tumor
TCGA-W3-AA1W-06A,Metastatic
TCGA-GF-A769-01A,Primary Tumor
TCGA-D9-A4Z5-01A,Primary Tumor
TCGA-ER-A1A1-06A,Metastatic
TCGA-FS-A4F8-06A,Metastatic
TCGA-FS-A1ZY-06A,Metastatic
TCGA-WE-A8ZO-06A,Metastatic
TCGA-D3-A8GV-06A,Metastatic
TCGA-EE-A2GJ-06A,Metastatic
TCGA-EE-A29X-06A,Metastatic
TCGA-EE-A3AF-06A,Metastatic
TCGA-EB-A3XB-01A,Primary Tumor
TCGA-D3-A3CB-06A,Metastatic
TCGA-EB-A4OZ-01A,Primary Tumor
TCGA-EB-A6L9-06A,Metastatic
TCGA-D9-A149-06A,Metastatic
TCGA-ER-A19M-06A,Metastatic
TCGA-FS-A4F0-06A,Metastatic
TCGA-FR-A8YD-06A,Metastatic
TCGA-RP-A695-06A,Metastatic
TCGA-EB-A5SE-01A,Primary Tumor
TCGA-HR-A5NC-01A,Primary Tumor
TCGA-W3-AA21-06A,Metastatic
TCGA-D9-A1JW-06A,Metastatic
TCGA-D3-A2JD-06A,Metastatic
TCGA-EE-A2MN-06A,Metastatic
TCGA-BF-AAP7-01A,Primary Tumor
TCGA-GN-A26C-01A,Primary Tumor
TCGA-D3-A1Q8-06A,Metastatic
TCGA-D3-A51F-06A,Metastatic
TCGA-ER-A3EV-06A,Metastatic
TCGA-GN-A8LK-06A,Metastatic
TCGA-EE-A2M6-06A,Metastatic
TCGA-FS-A1Z4-06A,Metastatic
TCGA-GN-A26D-06A,Metastatic
TCGA-BF-A3DM-01A,Primary Tumor
TCGA-D3-A51N-06A,Metastatic
TCGA-D3-A8GS-06A,Metastatic
TCGA-FW-A3I3-06A,Metastatic
TCGA-EE-A17X-06A,Metastatic
TCGA-D3-A8GR-06A,Metastatic
